Data,QT_INTER
01/01/2010,70
02/01/2010,92
03/01/2010,104
04/01/2010,134
05/01/2010,117
06/01/2010,106
07/01/2010,80
08/01/2010,106
09/01/2010,73
10/01/2010,81
11/01/2010,107
12/01/2010,96
13/01/2010,107
14/01/2010,97
15/01/2010,97
16/01/2010,98
17/01/2010,76
18/01/2010,129
19/01/2010,112
20/01/2010,104
21/01/2010,119
22/01/2010,105
23/01/2010,75
24/01/2010,76
25/01/2010,89
26/01/2010,114
27/01/2010,87
28/01/2010,118
29/01/2010,109
30/01/2010,99
31/01/2010,68
01/02/2010,126
02/02/2010,101
03/02/2010,99
04/02/2010,115
05/02/2010,103
06/02/2010,76
07/02/2010,80
08/02/2010,117
09/02/2010,115
10/02/2010,116
11/02/2010,94
12/02/2010,116
13/02/2010,101
14/02/2010,76
15/02/2010,100
16/02/2010,92
17/02/2010,101
18/02/2010,105
19/02/2010,96
20/02/2010,74
21/02/2010,86
22/02/2010,108
23/02/2010,115
24/02/2010,92
25/02/2010,105
26/02/2010,105
27/02/2010,96
28/02/2010,68
01/03/2010,103
02/03/2010,115
03/03/2010,93
04/03/2010,87
05/03/2010,106
06/03/2010,73
07/03/2010,73
08/03/2010,117
09/03/2010,87
10/03/2010,121
11/03/2010,101
12/03/2010,103
13/03/2010,68
14/03/2010,69
15/03/2010,84
16/03/2010,97
17/03/2010,98
18/03/2010,113
19/03/2010,118
20/03/2010,96
21/03/2010,75
22/03/2010,92
23/03/2010,98
24/03/2010,114
25/03/2010,100
26/03/2010,96
27/03/2010,83
28/03/2010,82
29/03/2010,119
30/03/2010,105
31/03/2010,111
01/04/2010,115
02/04/2010,76
03/04/2010,75
04/04/2010,77
05/04/2010,123
06/04/2010,95
07/04/2010,93
08/04/2010,106
09/04/2010,103
10/04/2010,88
11/04/2010,72
12/04/2010,84
13/04/2010,104
14/04/2010,137
15/04/2010,93
16/04/2010,101
17/04/2010,83
18/04/2010,83
19/04/2010,109
20/04/2010,112
21/04/2010,78
22/04/2010,107
23/04/2010,121
24/04/2010,89
25/04/2010,67
26/04/2010,116
27/04/2010,113
28/04/2010,77
29/04/2010,93
30/04/2010,104
01/05/2010,65
02/05/2010,81
03/05/2010,114
04/05/2010,104
05/05/2010,107
06/05/2010,103
07/05/2010,119
08/05/2010,86
09/05/2010,82
10/05/2010,110
11/05/2010,131
12/05/2010,90
13/05/2010,95
14/05/2010,112
15/05/2010,86
16/05/2010,91
17/05/2010,124
18/05/2010,107
19/05/2010,108
20/05/2010,112
21/05/2010,118
22/05/2010,70
23/05/2010,74
24/05/2010,126
25/05/2010,123
26/05/2010,104
27/05/2010,101
28/05/2010,130
29/05/2010,85
30/05/2010,75
31/05/2010,138
01/06/2010,136
02/06/2010,95
03/06/2010,116
04/06/2010,96
05/06/2010,96
06/06/2010,90
07/06/2010,117
08/06/2010,135
09/06/2010,107
10/06/2010,127
11/06/2010,114
12/06/2010,100
13/06/2010,75
14/06/2010,148
15/06/2010,97
16/06/2010,134
17/06/2010,120
18/06/2010,137
19/06/2010,102
20/06/2010,90
21/06/2010,132
22/06/2010,124
23/06/2010,118
24/06/2010,103
25/06/2010,100
26/06/2010,88
27/06/2010,82
28/06/2010,122
29/06/2010,112
30/06/2010,129
