Data,QT_INTER
2010-01-10,697
2010-01-17,678
2010-01-24,720
2010-01-31,684
2010-02-07,700
2010-02-14,735
2010-02-21,654
2010-02-28,689
2010-03-07,650
2010-03-14,666
2010-03-21,681
2010-03-28,665
2010-04-04,678
2010-04-11,680
2010-04-18,685
2010-04-25,683
2010-05-02,649
2010-05-09,715
2010-05-16,715
2010-05-23,713
2010-05-30,744
2010-06-06,767
2010-06-13,775
2010-06-20,828
2010-06-27,747
2010-07-04,761
2010-07-11,824
2010-07-18,753
2010-07-25,734
2010-08-01,682
2010-08-08,745
2010-08-15,750
2010-08-22,832
2010-08-29,803
2010-09-05,792
2010-09-12,770
2010-09-19,770
2010-09-26,739
2010-10-03,710
2010-10-10,773
2010-10-17,735
2010-10-24,713
2010-10-31,704
2010-11-07,677
2010-11-14,700
2010-11-21,749
2010-11-28,712
2010-12-05,714
2010-12-12,724
2010-12-19,689
2010-12-26,656
2011-01-02,671
2011-01-09,774
2011-01-16,760
2011-01-23,756
2011-01-30,751
2011-02-06,792
2011-02-13,727
2011-02-20,655
2011-02-27,707
2011-03-06,696
2011-03-13,691
2011-03-20,690
2011-03-27,709
2011-04-03,754
2011-04-10,653
2011-04-17,739
2011-04-24,679
2011-05-01,736
2011-05-08,734
2011-05-15,668
2011-05-22,748
2011-05-29,769
2011-06-05,805
2011-06-12,746
2011-06-19,857
2011-06-26,791
2011-07-03,821
2011-07-10,745
2011-07-17,838
2011-07-24,794
2011-07-31,805
2011-08-07,818
2011-08-14,733
2011-08-21,727
2011-08-28,735
2011-09-04,773
2011-09-11,712
2011-09-18,701
2011-09-25,740
2011-10-02,718
2011-10-09,697
2011-10-16,686
2011-10-23,695
2011-10-30,770
2011-11-06,706
2011-11-13,741
2011-11-20,672
2011-11-27,702
2011-12-04,717
2011-12-11,714
2011-12-18,682
2011-12-25,659
2012-01-01,674
2012-01-08,740
2012-01-15,751
2012-01-22,740
2012-01-29,702
2012-02-05,701
2012-02-12,716
2012-02-19,640
2012-02-26,660
2012-03-04,736
2012-03-11,666
2012-03-18,665
2012-03-25,695
2012-04-01,694
2012-04-08,656
2012-04-15,745
2012-04-22,681
